CAZyme	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	HRSPAC64	HRSPAC65	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
AA5	0	0.137509	0.430288	0	0	0.169998	0.547388	0	0	0	0	0	0	0	0	0	0	0	0.370705	1.17225	0	0	0	0	0	0	0	0.517544	0	0	0	1.13274	0.135703	0.301504	0.0869195	0.140864	0	0	0
AA5_2	0.15772	0.137509	0.0860576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.614177	0	0	0	0	0	0	0	0	0	0	0	0	0.251525	0	0	0	0	0	0	0	0
AA6	1.65606	1.37509	1.29086	2.72395	2.21282	1.86998	2.46325	1.90433	1.71005	2.20274	0.507118	1.48274	0	0	1.20576	1.43572	0.712486	1.84253	1.11212	0.390749	1.37239	1.80559	1.28918	0	0	0.8753	1.88569	3.10526	1.37533	1.19412	1.76068	1.13274	1.62843	3.01504	2.43374	2.39469	1.30844	1.30307	2.1407
AA7	10.5672	12.1008	9.38028	6.0765	9.29386	7.8199	7.66343	0.952165	1.14003	0	0	2.22411	0.547377	0	0	2.15358	5.69989	7.67721	2.96564	0.781498	0	0	0.161148	0.708048	0	0.218825	0.942847	8.79824	5.22625	0.895592	4.52745	20.9557	0.54281	0	0.608436	0.422592	14.3929	0.244325	0.237856
CBM11	0.0788599	0.137509	0	0	0.221282	0.169998	0	0	0	0	0	0	0	0	0	0	0	0.921265	0	0	0.686195	1.03176	0.161148	0	0	0	0	0	0	0	1.0061	2.26548	0.271405	0	0	0	0	0.162883	0
CBM13	0.0788599	0.275019	0.172115	0.419069	0.442565	0.169998	0.273694	0	0	0	1.52135	0	2.18951	0	0	0.35893	1.06873	1.84253	0.74141	2.34449	0.457463	0.773822	2.73951	0	1.59801	0.8753	0	0	0	0	1.88644	1.13274	0.407108	0	0.434597	0.281728	0	0.814416	0.475711
CBM16	0	0	0.0860576	0	0	0	0	0.238041	0.570015	0.734247	0.507118	0.370685	0	0	0.602881	0.71786	0.356243	0.614177	0.370705	0.781498	2.51605	4.64293	0.644591	0	0.799006	0.656475	0	0	0.550131	1.49265	1.0061	0	2.30694	1.20602	2.34683	1.69037	0	1.38451	1.18928
CBM2	0	0	0.0860576	0	0.442565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457463	0.257941	0.805739	0	0	0	0	0.258772	0	0	0	0	0.814216	0	0.260758	0.140864	0	0.244325	0
CBM20	0	0.0687547	0	0	0	0	0.273694	0	0	0	0	0	0.547377	0	0	0	0	0.921265	1.11212	0	0.457463	0.773822	1.12803	0	0.799006	0.43765	0	0	0.275066	0.298531	0.377288	0	0	0	0	0	0	0	0
CBM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM22	0	0	0	0	0	0	0	0.238041	0	0.367124	0	0	0	0	0	0	0.356243	0	0.370705	1.17225	0.914926	0.773822	0.644591	0	0	0	0	0	0	0.597061	0	0.56637	0.407108	0.603008	0.434597	0.563456	0	0.244325	0.475711
CBM23	0	0	0	0	0	0	0	0	0	0	0	0	0.547377	0.663065	1.20576	0	0	0	0	0	0.228732	0.773822	0.644591	0	3.99503	0.8753	3.77139	0.258772	0	0	0	0	0	0.301504	0	0	0	0.244325	0.713567
CBM25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0	0	0	0.799006	0.218825	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370705	2.73524	0	0.515882	0.483443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135703	0	0	0	0	0	0
CBM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173839	0.140864	0	0	0
CBM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM32	0.709739	1.03132	0.774519	0.838138	0.885129	0.849989	0.547388	3.09454	0.570015	1.10137	1.52135	0.741369	3.83164	1.32613	4.82305	6.10181	6.05613	5.83468	2.59494	14.8485	8.46307	7.73822	6.92936	0	15.1811	7.44005	5.65708	0	1.10026	5.07502	3.52135	1.69911	13.8417	5.12556	8.60503	6.05716	0	4.56073	3.32998
CBM34	0	0	0	0	0	0	0	0	0	0	1.01424	0	0	0	0	0	0	0	0	0	0.457463	0.515882	0.805739	0	0	0	0	0	0	0.298531	0	0	0.135703	0	0.173839	0	0	0.0814416	0
CBM35	0.47316	0.275019	0	0	0.442565	0	0	0	0.570015	0	0	0	0	0	0	3.23037	0.356243	0.614177	0.370705	1.563	0.457463	0.257941	0.805739	0	0	0	0	0	0.275066	0.298531	0.251525	1.13274	1.49273	0.301504	0.608436	0.845185	0	0.732974	0.237856
CBM35inCE17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0.257941	0.644591	0	0	0	0	0	0	0	0	0	0.271405	0	0	0	0	0	0
CBM38	0.55202	0.825057	1.11875	0.209534	0.221282	0.509993	0	4.52279	2.28006	4.03836	0.507118	1.11205	0.547377	1.32613	1.80864	2.87144	1.42497	2.45671	5.18987	1.563	6.86195	5.93264	12.5695	0.472032	5.59304	2.40707	0.942847	0.258772	1.92546	6.86621	1.76068	0	6.51373	4.22105	5.73668	5.35284	2.61688	7.32974	4.75711
CBM39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM4	0.23658	0.343774	0	0.209534	0.442565	0.509993	0	3.57062	0.570015	3.30411	0.507118	0.741369	2.73689	0	1.20576	6.46074	3.56243	2.14962	1.11212	1.17225	3.65971	4.64293	4.99558	0.236016	5.59304	1.53177	1.88569	0	4.95118	4.77649	1.38339	1.69911	1.76413	6.33158	4.17213	4.22592	1.30844	2.68757	2.61641
CBM40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0	0.483443	0	0.799006	0	0	0	0	0	0	0	0.135703	0	0.0869195	0	0	0	0
CBM41	0.31544	0	0	0.628603	0	0.169998	0	0.238041	0.570015	0.734247	1.01424	0	0.547377	0.663065	1.20576	0	1.06873	0.614177	0.74141	1.95374	1.82985	2.06353	5.15673	0	12.7841	1.31295	0	0	0	0	0.377288	2.83185	0	0	0	0	0	1.22162	0.713567
CBM42	0	0.0687547	0.172115	0	0	0	0	0	0	0	0	0	0	1.32613	0.602881	0	0	0	0	0	0	0	0.161148	0	0.799006	0.656475	0	0	0	0	0.377288	0	0	0	0	0	0	0.325766	0.713567
CBM44	2.91782	2.1314	1.03269	1.46674	1.54898	1.69998	1.64216	6.66516	2.28006	2.20274	12.6779	1.85342	18.6108	23.2073	16.2778	1.79465	4.63116	1.53544	8.89692	0.781498	58.3265	62.4217	12.0861	0.708048	20.7742	13.786	8.48562	0.776315	2.75066	2.38825	6.79118	4.53096	4.07108	5.42707	4.25905	4.93024	0	9.2029	2.1407
CBM45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM47	0.31544	0.618793	0.516346	0.419069	0	0.169998	0	2.61845	0	1.46849	0.507118	1.48274	1.09475	0.663065	0	1.07679	1.78122	2.7638	1.11212	0.781498	1.82985	2.32147	0.322296	0.708048	0	1.31295	0.942847	0	1.10026	3.8809	1.76068	1.69911	4.34248	1.50752	4.34597	3.38074	0	3.09478	2.37856
CBM48	0.23658	0.206264	0.430288	0	0.221282	0.169998	0	0.238041	0.570015	0	0	0.741369	0	0	0	1.07679	0.712486	0.307088	1.11212	1.95374	0.686195	0.515882	1.12803	0.236016	0.799006	0	0	0.258772	0	0.298531	0.50305	2.26548	0.407108	0	0.260758	0.140864	0	0.0814416	0
CBM5	0.0788599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM50	0.788599	1.99389	1.11875	1.46674	1.32769	1.86998	1.64216	2.8565	3.42009	7.7096	16.7349	3.33616	14.2318	20.555	18.0864	3.23037	2.4937	2.45671	2.22423	1.95374	33.1661	29.4052	12.5695	0	3.99503	3.5012	1.88569	1.8114	2.75066	1.19412	3.39559	5.09733	1.35703	3.01504	3.47678	1.40864	2.61688	4.39784	4.2814
CBM51	0.23658	0.756302	0.946634	0.419069	0.221282	0.169998	0.273694	5.71299	0.570015	1.83562	3.04271	0.741369	1.64213	1.32613	1.80864	4.30716	1.06873	1.84253	3.33635	1.563	11.4366	7.73822	4.18984	0.236016	0	1.96942	0.942847	0.776315	0.550131	3.58237	1.13186	0	8.27786	3.31654	5.21517	3.80333	0.654221	4.64217	2.1407
CBM53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356243	0.307088	0	0	0.457463	0.515882	0.644591	0	0	0	0	0	0	0	0	0	0	0	0	0.140864	0	0.0814416	0
CBM54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805739	0	5.59304	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237856
CBM56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM57	2.7601	2.40642	1.46298	1.25721	1.99154	2.88996	1.91586	1.90433	0	1.10137	1.01424	0.370685	1.09475	0	1.80864	6.81967	3.91868	9.21265	6.30199	13.2855	6.40448	4.64293	4.99558	0.236016	0.799006	1.09412	0	1.03509	0.825197	1.19412	5.78508	4.53096	3.93538	0.904511	3.30294	2.11296	0	2.76901	1.18928
CBM6	0.55202	0.618793	0.516346	1.04767	0.442565	0.339995	0	0	0	0.367124	0.507118	0	0	0.663065	0.602881	6.46074	3.56243	5.2205	4.81917	2.34449	1.37239	1.2897	4.18984	0.236016	1.59801	0.43765	0	0	0	0.298531	1.25763	0	2.44265	0	0.521517	0.986049	0	0.732974	0.237856
CBM61	0.0788599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0.457463	0.515882	0	0	0	0.218825	0	0	0	0.298531	0	0	0.135703	0	0	0	0	0.0814416	0
CBM62	0.0788599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161148	0	0	0	0	0	0	0	0.125763	0	0	0	0	0	0	0	0
CBM66	0.709739	0.825057	1.11875	0.419069	0	0.679991	0.273694	2.14237	0	0	1.01424	0.370685	2.73689	1.9892	0.602881	3.23037	1.42497	1.84253	0.370705	0.781498	9.83546	9.02793	6.92936	0	0.799006	2.18825	0.942847	1.03509	2.20053	1.19412	0.754575	0	3.25686	3.01504	3.21602	2.11296	1.30844	1.71027	1.66499
CBM67	2.83896	2.75019	2.2375	1.25721	1.54898	2.37997	1.36847	2.8565	2.28006	1.10137	2.02847	2.22411	1.09475	0.663065	0.602881	32.3037	13.5372	15.0473	5.18987	5.07974	16.0112	9.02793	19.66	0.708048	3.19602	12.9107	1.88569	1.8114	4.95118	6.56768	12.8278	5.09733	20.084	6.93459	14.5156	8.45185	4.57955	13.275	9.51423
CBM69	0	0	0.0860576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218825	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM73	0.0788599	0.0687547	0	0	0	0.169998	0	0.238041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0.322296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM8	0	0	0	0	0.221282	0	0	0	0	0	0	0	0	0	0	0	0.356243	0.307088	1.48282	0	0.686195	0.515882	0	0	0.799006	0	0.942847	0	0	0	0.251525	0	0	0.603008	0.0869195	0	0	0.162883	0
CBM82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM85	0.15772	0.137509	0.0860576	0	0	0	0	0.476083	0	0.367124	0.507118	0	0	0	0	3.23037	1.42497	3.07088	0	0.390749	1.60112	1.2897	1.45033	0	0.799006	1.31295	0	0	0.275066	0.597061	0.628813	0.56637	0.678513	1.20602	0.434597	0.845185	0	0.244325	0.237856
CBM86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM9	26.6547	29.9771	27.7106	12.7816	18.3664	20.7397	12.0425	20.7096	3.42009	18.7233	13.1851	8.52575	8.21066	10.609	5.42593	77.1699	58.0676	63.2602	38.1826	21.8819	54.2094	45.6555	49.9558	0.944064	13.5831	30.4167	11.3142	25.1009	25.306	19.703	38.9864	28.3185	22.798	36.1805	33.9855	21.5522	56.263	35.3456	23.7856
CE1	31.4651	33.071	29.4317	18.439	22.3495	29.9196	13.1373	18.3292	3.99011	8.81097	13.6922	9.26712	8.75804	11.9352	11.4547	132.445	87.9921	111.166	63.3906	76.5868	48.0336	37.1435	66.2318	1.18008	31.1612	58.8639	14.1427	16.3026	23.9307	18.2104	52.8203	40.2123	34.6042	18.3917	28.5965	24.6512	43.1786	51.5525	30.4455
CE11	1.5772	1.30634	1.03269	0.838138	1.54898	1.18998	1.36847	1.19021	1.14003	0.367124	0.507118	0.741369	1.09475	0.663065	0.602881	0.35893	1.06873	0	1.48282	0.781498	0	0.257941	0.805739	0.472032	0	1.09412	0	2.32895	0.550131	0.597061	0.50305	0.56637	0.814216	0	0.782275	0.845185	4.57955	0.407208	0.475711
CE12	0.3943	0.618793	0.172115	0.209534	0.663847	1.01999	0	0.238041	0	0	0	0	0	0	0	1.79465	1.42497	2.45671	1.85353	1.95374	0	0.257941	0.966887	0	0	0	0	0	0	0	2.0122	3.96459	1.35703	0.603008	0.869195	0.422592	0	0.570091	0
CE13	2.91782	3.02521	1.80721	1.04767	0.885129	2.20997	1.09478	0	0.570015	0	0	0	0	0	0	1.07679	4.98741	2.45671	5.56058	1.563	0	0.257941	0	0	0.799006	0.218825	0.942847	0.517544	0	0	5.53355	8.49556	0.271405	0	0.347678	0.140864	0.654221	0.732974	0.475711
CE14	5.1259	4.74408	6.11009	1.67628	3.7618	4.24994	5.74757	4.99887	2.85008	4.03836	2.53559	2.22411	2.18951	0.663065	1.80864	25.484	19.5934	23.9529	10.3797	20.3189	3.43097	3.35323	2.57836	0.236016	7.19105	5.47062	1.88569	4.39912	5.77638	5.67208	12.3247	4.53096	9.63489	5.12556	7.30123	5.07111	14.3929	7.89983	5.94639
CE15	0.788599	1.37509	1.72115	0.209534	0.442565	1.35998	0.273694	2.8565	0.570015	1.10137	1.01424	0.370685	0.547377	0.663065	0.602881	3.94823	3.91868	5.2205	3.33635	3.90749	3.20224	1.80559	1.93377	0	0	2.40707	0	0	1.92546	5.07502	3.64711	0.56637	7.59935	2.71353	4.51981	4.50765	3.2711	3.66487	2.61641
CE16	1.89264	1.92513	0.946634	0.419069	0.663847	1.52998	0.547388	0	0	0	0	0	0	0	0	0.71786	1.78122	3.99215	2.22423	8.98723	1.60112	1.54764	1.93377	0	2.39702	1.53177	2.82854	0.776315	0.550131	0	3.77288	4.53096	0.271405	0	0.173839	0.140864	0	0.162883	0.713567
CE17	0.0788599	0.275019	0.0860576	0	0	0.339995	0	0.714124	0.570015	0.734247	0.507118	0.370685	0	0	0	2.51251	0.712486	1.22835	1.48282	2.73524	0.914926	0.773822	3.3841	0	0	0.656475	0	0	0	0.298531	0.628813	0	1.22132	0	0.956114	0.845185	0	0.895857	0
CE18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CE2	0.31544	0.412528	0.344231	0.209534	0	0.339995	0	0	0	0	1.01424	0	0	0	0	3.23037	0.712486	0.921265	0.74141	1.17225	0.914926	0.773822	2.25607	0	1.59801	2.40707	0	0.517544	0.275066	0.298531	1.25763	0.56637	0.54281	0	0.347678	0.140864	0	0.895857	0.475711
CE3	2.44466	2.1314	1.80721	1.67628	1.99154	2.88996	0.547388	0.476083	0	0.734247	0.507118	1.48274	1.64213	1.32613	1.20576	24.0483	9.26232	16.8899	8.52622	7.81498	7.77687	6.9644	8.21854	0.472032	5.59304	8.97182	10.3713	1.03509	1.92546	1.49265	10.5641	2.26548	3.39257	2.71353	3.82446	2.81728	2.61688	3.9092	4.75711
CE4	13.6428	13.1322	12.3062	6.7051	9.73642	11.3898	12.0425	8.33145	4.56012	7.7096	9.63524	5.93095	11.4949	9.94598	9.04322	22.6126	15.3185	22.7245	18.906	43.3731	23.5594	23.9885	27.8786	1.88813	20.7742	15.7554	15.0855	11.6447	12.1029	14.0309	20.6251	17.5575	16.42	13.2662	16.2539	12.9595	17.0097	14.4152	13.0821
CE5	0.15772	0.343774	0.258173	0	0.663847	0.509993	0.547388	0	0	0	0	0	0	0	0	0.35893	0.356243	0	0	0.390749	0	0	0	0	0	0	0	0.517544	0	0	0	0	0.135703	0	0.347678	0.140864	0.654221	0.488649	0
CE6	0.47316	0.825057	0.344231	0	0.885129	1.18998	0.273694	0.238041	0	0.367124	0	0	0	0.663065	0	5.02502	1.06873	5.52759	1.85353	3.12599	0.228732	0.773822	0.966887	0	0	0.8753	0.942847	0.258772	0	0	2.13796	1.13274	1.08562	0.603008	0.869195	0.704321	0	0.732974	0.713567
CE7	1.26176	0.962566	1.72115	0.419069	0.663847	1.01999	1.09478	2.61845	2.28006	1.46849	3.04271	0	1.09475	2.65226	3.01441	8.97325	6.41238	3.37797	2.96564	6.25198	8.23434	4.12705	4.51214	0.708048	11.9851	7.8777	0.942847	1.55263	2.47559	2.38825	4.27593	1.13274	7.59935	6.33158	5.73668	3.5216	1.30844	4.56073	4.2814
CE8	0.0788599	0.0687547	0.0860576	0	0	0	0	0.476083	0	0.367124	0.507118	0	0.547377	0.663065	0	0	0.356243	0	0.370705	0.781498	2.74478	3.35323	0.483443	0	2.39702	0	0	0	0	0	0.880338	1.69911	0.271405	0.904511	0.0869195	0	0	1.22162	0.237856
CE9	0.15772	0.343774	0.516346	0.209534	0.885129	0.339995	0.547388	0.238041	0	0.367124	1.01424	0.370685	0	0.663065	0	3.23037	1.78122	2.7638	0.370705	2.73524	1.14366	0.257941	0.644591	0.236016	0.799006	1.09412	0	0.776315	0.825197	0	0.880338	0.56637	1.22132	1.20602	1.21687	0.704321	0	0.895857	1.66499
GH1	0.23658	0.206264	0.258173	0	0	0.339995	0.547388	0.238041	0	0.367124	0	0	0.547377	1.32613	0.602881	0.35893	0.356243	0.614177	0.74141	3.12599	1.37239	2.57941	1.61148	0	1.59801	0	0	0.258772	0.550131	0	0.628813	0	6.51373	0.904511	5.38901	4.36679	0	0.977299	1.18928
GH10	0.23658	0.343774	0.258173	0.209534	0	0.339995	0.273694	3.57062	0.570015	1.83562	0	0.741369	2.18951	0	1.20576	16.5108	6.76862	11.9764	2.22423	10.941	5.03209	3.61117	2.73951	0	5.59304	5.68945	0	0	3.30079	4.77649	4.90474	6.23007	3.93538	3.61805	5.64977	2.67642	0	4.56073	2.61641
GH101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35893	0.356243	0.614177	0	0.390749	0	0	0.161148	0	0	0	0	0	0	0	0	0	0.407108	0	0	0	0	0	0
GH102	2.28694	2.75019	3.09807	1.46674	1.54898	2.54997	6.02127	2.38041	2.28006	1.83562	1.52135	1.48274	0.547377	2.65226	2.41153	4.66609	3.91868	4.60633	6.30199	12.1132	5.26083	5.15882	13.6976	0.236016	13.5831	7.0024	8.48562	3.36403	3.57585	2.38825	4.15016	9.6283	3.25686	2.71353	3.5637	2.53555	6.54221	5.37514	5.47068
GH103	18.6109	18.1512	15.4904	12.7816	14.3834	19.8897	10.4004	7.61732	2.28006	4.03836	2.02847	6.67232	1.09475	2.65226	1.80864	13.2804	17.0997	18.4253	10.7504	57.0493	9.14926	9.02793	17.7263	3.77626	28.7642	20.3507	30.1711	11.9035	8.8021	4.77649	24.7752	39.6459	4.34248	4.82406	5.73668	4.50765	20.2808	6.35244	5.70854
GH104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69911	0	0	0	0	0	0.0814416	0
GH105	0.867459	0.687547	0.258173	0.209534	0	0.339995	0	0.952165	0	0.367124	0.507118	0	0.547377	0	0.602881	8.97325	5.69989	7.37012	4.81917	3.51674	2.97351	1.80559	5.64017	0	0	1.31295	0	0.258772	0.550131	2.08972	6.53965	3.39822	5.021	0.603008	4.08521	1.54951	0.654221	2.76901	1.66499
GH106	0.47316	0.206264	0.0860576	0	0	0	0	1.19021	0	0	0	0	0	0	0	14.3572	3.91868	3.07088	3.70705	2.34449	4.3459	2.32147	6.92936	0	0	3.5012	0	0	0.550131	0.895592	5.0305	1.13274	11.8061	2.71353	5.30209	3.38074	0	5.70091	3.09212
GH107	0	0.0687547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125763	0	0	0	0.173839	0	0	0	0
GH108	0.0788599	0.0687547	0.0860576	0.209534	0	0	0	0	0	0	0	0	0.547377	0	0	0	0	0	0	0	0	0.257941	0.483443	0	0	0.218825	0	0	0.550131	0.298531	0	0	0.135703	0	0	0.563456	0	0.407208	0
GH109	21.6076	22.8953	26.5918	11.3149	12.8344	17.3398	22.1692	121.163	27.3607	84.8056	42.0908	40.4046	36.6743	24.5334	37.3786	165.467	118.273	130.205	95.2712	69.9441	83.0296	66.2908	63.6534	6.84447	25.5682	65.4287	23.5712	23.2895	76.7433	159.117	100.987	26.6194	126.203	89.2451	127.685	103.958	44.487	126.234	104.419
GH11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35893	0	0.307088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237856
GH110	0.0788599	0.412528	0	0	0	0.169998	0	0.238041	0	0	0	0	0	0	0	2.15358	0.356243	0.921265	0	3.51674	0.686195	0.515882	1.28918	0	0	1.31295	0	0	0.275066	0	1.13186	2.83185	1.49273	0.301504	0.869195	2.11296	0	1.14018	0.237856
GH111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686195	0.257941	1.28918	0	0	0	0	0	0	0	0	0	0.949918	0	0.173839	0	0	0	0
GH112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125763	0	0	0	0	0	0	0	0
GH113	2.83896	2.68143	3.95865	0.838138	1.77026	1.69998	5.74757	2.61845	1.14003	0.734247	0	1.85342	2.73689	1.9892	0.602881	7.53753	4.98741	10.1339	1.48282	5.86123	8.0056	7.99616	2.73951	0.708048	1.59801	1.53177	0.942847	1.55263	3.57585	1.79118	5.65932	1.69911	3.79967	3.01504	3.9983	2.95815	8.50487	2.03604	1.90285
