CAZyme	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
AA3_2	54.4922	60.5042	54.6466	42.1164	46.0267	46.2394	57.7494	2.14237	3.99011	0	0.507118	8.52575	0	0	0	35.893	40.968	67.8665	11.1212	110.973	0.914926	0.257941	2.57836	7.08048	13.5831	52.7894	18.7045	0	34.962	69.6636	7.19224	0	2.95526	4.64852	62.8052	3.01334	2.37856
AA3_4	0	0	0.0860576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135703	0	0	0	0.654221	0	0
AA4	16.0086	20.0076	15.7485	9.21951	12.6131	13.7698	24.6325	44.5137	9.69026	30.8384	31.9484	13.7153	25.1794	27.1857	24.1153	15.7929	40.2555	27.0238	45.5967	52.3604	89.6628	86.1522	61.8808	2.83219	68.7145	17.0789	25.306	26.2707	31.1891	44.1769	33.9257	65.1248	41.7213	34.3708	29.4399	65.5605	75.876
AA5	0.15772	0.275019	0.946634	0	0	0.169998	1.91586	0	0	0	0	0	0	0	0	0	0	0	0.74141	1.95374	0	0	0	0	0	0.776315	0.275066	0	0.125763	1.13274	0.407108	0.301504	0.347678	0.281728	1.96266	0	0
AA5_2	0.3943	0.550038	0.344231	0	0.442565	0.679991	0	0	0	0	0	0	0	0	0	1.43572	0	3.07088	0	0.781498	0	0	0	0	0	0	0	0	0.50305	0	0	0	0	0.140864	0	0	0
AA6	39.6665	39.6027	34.7673	42.3259	40.9372	38.4195	33.3907	73.0787	41.0411	67.9179	55.7829	44.1115	54.7377	43.0992	53.0536	31.9448	54.149	38.386	45.9674	55.4863	59.2415	63.1955	33.6799	10.8567	52.7344	34.9342	34.1081	57.6164	59.7372	98.5484	37.0468	97.0842	60.8436	51.2745	33.3653	43.9784	59.4639
AA7	60.801	66.8296	72.3745	51.5455	74.1296	71.739	79.3713	25.9465	21.0906	13.9507	6.08541	27.8013	4.9264	0	4.82305	34.0983	44.1742	44.8349	38.5533	56.2678	9.14926	5.15882	8.37969	11.3288	11.9851	96.0043	38.5092	11.6427	40.4955	84.9556	17.5056	6.33158	10.9519	11.1283	79.1607	14.0894	11.4171
CBM11	1.26176	0.550038	0.0860576	0	0.663847	0.679991	0	0.238041	0.570015	0.367124	0.507118	0.370685	0	0	0	0.71786	1.06873	3.37797	0.74141	1.17225	1.14366	1.80559	0.322296	0	0	0	0	0.597061	4.65321	8.49556	0.271405	0	0	0	0	0.488649	0.237856
CBM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257941	0.322296	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0.0814416	0.237856
CBM13	1.1829	1.65011	0.602403	1.04767	0.885129	1.01999	0.273694	1.66629	0.570015	1.10137	16.7349	0.741369	15.8739	23.2073	12.0576	3.23037	3.56243	3.37797	2.96564	13.2855	3.65971	3.35323	8.21854	0	20.7742	0	0.550131	0.298531	4.77898	2.26548	0.678513	0.904511	0.608436	0.704321	1.30844	2.28036	1.42713
CBM16	0.867459	0.962566	0.774519	0.628603	0.663847	1.01999	0	1.90433	2.28006	2.56987	1.52135	1.11205	0	1.32613	2.41153	10.409	3.56243	3.99215	2.22423	1.17225	7.54814	8.51205	2.57836	0	0.799006	0.517544	1.92546	3.58237	2.26373	0.56637	2.98546	1.50752	3.82446	2.67642	0	3.09478	3.09212
CBM2	0.47316	0.481283	0.602403	0.628603	0.442565	1.01999	0	0	0	0.367124	0	0	0	0	0	0	0.712486	0	0.74141	0.781498	0.686195	0.515882	2.57836	0	1.59801	0.517544	0.275066	0	0.377288	6.79644	4.74959	0.603008	1.21687	0.704321	0.654221	1.30307	0.475711
CBM20	0.55202	0.343774	0.172115	0	0	0.169998	0.547388	0.714124	0	0	4.05694	0	3.28426	2.65226	2.41153	0.71786	0.356243	1.53544	4.44846	1.17225	1.60112	1.54764	3.54525	0	3.99503	0.258772	0.550131	0.298531	4.52745	1.13274	0.407108	0	0.0869195	0.140864	0	0.162883	1.18928
CBM21	0	0	0	0	0	0.169998	0	0	0	0	0.507118	0	0	0	0	0	0	0	0.370705	0	0	0	1.12803	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM22	0.23658	0.206264	0.0860576	0.209534	0.221282	0.169998	0	1.42825	0.570015	1.10137	0	1.11205	0.547377	0.663065	0	1.43572	0.356243	0.614177	0.370705	1.95374	1.14366	1.03176	1.28918	0.236016	0	0	0.275066	1.19412	0.628813	0.56637	1.22132	1.20602	1.39071	1.12691	0	0.977299	1.18928
CBM23	0	0.137509	0	0	0	0	0	0.238041	0	0.367124	2.02847	0	1.64213	2.65226	4.82305	0	0	0	0	1.563	2.05858	3.35323	1.93377	0	8.78907	0.258772	0	0.298531	0.251525	0	0.271405	0.301504	0.260758	0.140864	0	0.814416	1.18928
CBM25	0	0.0687547	0	0	0	0	0	0	0	0	0	0.370685	0	0	0	0	0	0.307088	0.370705	0.390749	0.686195	1.54764	0.483443	0	0.799006	0	0.275066	0	0	0	0	0	0	0	0	0	0.237856
CBM26	0.0788599	0.137509	0.0860576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356243	0	1.48282	4.68899	0.228732	0.773822	2.25607	0	3.19602	0	0	0	0.125763	0.56637	0	0	0	0	0	0	0
CBM27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135703	0	0	0	0	0	0
CBM3	0	0.0687547	0	0	0.221282	0	0	0.238041	0	0	0	1.11205	0	0.663065	0	0	0.356243	0.307088	0	0	0	0	0.322296	0	0	0	0.275066	0	0	0.56637	0	0	0.782275	0.422592	0	0.244325	0
CBM30	0.0788599	0.0687547	0	0	0	0	0	0.238041	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0	0.161148	0	0	0	0	0	0	0	0.135703	0	0.0869195	0	0	0.0814416	0
CBM32	9.54205	8.6631	6.88461	3.14302	5.31078	6.79991	3.28433	24.5183	21.0906	26.8	31.4413	15.1981	28.4636	32.4902	42.8046	37.6876	30.6369	41.764	29.2857	33.9952	37.9694	41.5285	30.1346	1.4161	95.0817	1.8114	16.5039	40.0031	23.0145	12.4601	37.4539	22.3113	35.637	30.9901	5.23377	37.7074	53.2797
CBM34	0	0	0	0	0	0	0	0	0.570015	2.93699	3.04271	0.370685	4.9264	4.64146	3.61729	1.43572	0.712486	0	0	10.5502	1.82985	1.03176	2.41722	0	15.9801	0	0	0.597061	0	0	0.407108	0	0.173839	0.140864	0	0.570091	0.475711
CBM35	1.81378	1.85638	0.860576	0.209534	0.885129	1.18998	0.547388	3.09454	2.85008	1.10137	1.01424	0.741369	1.64213	1.32613	1.20576	11.8447	7.83735	4.60633	2.96564	2.73524	2.28732	1.80559	2.73951	0.472032	3.99503	0.258772	1.37533	4.77649	5.0305	6.79644	3.52827	1.20602	2.78142	3.5216	0	3.66487	3.09212
CBM35inCE17	0.0788599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07679	0	0.307088	0	2.73524	0.228732	0.515882	1.12803	0	0	0	0	0	0	0	0.271405	0	0	0	0	0	0
CBM38	5.44134	8.59434	7.40096	3.56208	3.54052	4.58994	2.73694	16.1868	19.3805	23.863	11.1566	10.7499	9.30542	6.63065	9.04322	9.33218	8.54984	14.7402	24.8372	4.29824	18.9847	16.2503	29.9735	2.12414	9.58807	4.65789	9.35223	23.5839	11.6959	3.96459	12.0775	8.44211	13.994	12.9595	7.19643	23.2108	18.5527
CBM39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM4	3.78528	3.16272	2.15144	2.09534	1.54898	2.71996	0	14.5205	6.27017	12.8493	9.63524	6.30164	9.85279	7.95678	10.249	25.1251	17.4559	17.1969	8.15551	5.47049	10.9791	9.80175	13.6976	1.18008	37.5533	0.776315	13.7533	26.2707	10.061	7.36282	4.34248	9.94962	10.3434	7.88839	3.2711	14.9038	16.412
CBM40	0	0	0.258173	0	0	0	0	0.238041	0.570015	0	0.507118	0.741369	0	0	0	0.35893	0.712486	0.614177	0.74141	0	0.457463	0.515882	0.966887	0	1.59801	0.517544	0	1.49265	0.50305	0.56637	1.08562	0.301504	0.434597	0.281728	0	0.488649	0.237856
CBM41	1.10404	0.550038	0	1.04767	0.221282	0.509993	0	2.8565	3.42009	4.40548	9.63524	3.70685	3.83164	3.97839	4.82305	0.35893	1.78122	1.53544	2.96564	7.81498	2.51605	2.57941	5.96247	0	16.7791	0	0	0.597061	9.55795	9.06193	0.271405	0	0.0869195	0	0	3.66487	2.61641
CBM42	0.47316	0.206264	0.258173	0	0.442565	0.509993	0	0.476083	0.570015	0.367124	2.53559	0.741369	2.18951	3.31533	4.22017	0.71786	1.42497	0.921265	1.11212	0	0	0	0.483443	0.236016	6.39205	0.258772	0	0	1.25763	0.56637	0.271405	0	0	0.140864	0	0.977299	1.18928
CBM44	17.6646	14.9198	10.5851	10.4767	12.8344	15.6398	18.0638	67.3657	25.0807	91.4138	157.206	31.8789	202.53	218.812	194.731	13.6393	27.4307	19.3466	34.1049	8.59648	179.097	196.809	42.2207	4.24829	194.957	13.1974	20.3549	20.5986	37.8545	33.4159	15.8772	37.9895	20.2522	19.4392	9.15909	46.8289	60.6532
CBM45	0.0788599	0.0687547	0	0.209534	0	0.169998	0	1.66629	0	0.734247	0.507118	0.370685	0.547377	1.32613	0.602881	0	0.356243	0	1.11212	0	0	0	0.161148	0	2.39702	0	1.10026	0.597061	0.125763	0	0	0	0	0	0	0.162883	1.18928
CBM46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM47	6.78195	9.14438	7.40096	4.19069	2.87667	5.94992	2.46325	8.56949	7.98021	8.07672	4.05694	8.15506	2.73689	2.65226	2.41153	19.3822	10.3311	24.5671	9.26763	9.76872	4.3459	4.90087	3.7064	2.36016	2.39702	4.65789	7.42677	12.5383	9.30643	3.96459	11.399	2.41203	9.3873	7.60666	3.92532	8.55136	8.08709
CBM48	30.8342	23.9954	19.7933	13.4102	25.89	27.0296	9.85299	17.377	11.4003	8.07672	11.6637	16.3101	7.66328	7.95678	7.83746	40.918	42.7492	52.8192	37.0705	97.6872	19.6709	19.0876	23.5276	4.72032	37.5533	16.3026	10.1774	7.7618	55.8386	78.1591	12.3489	6.33158	8.51811	6.33889	14.3929	13.3564	13.5578
CBM5	0.0788599	0	0	0	0	0	0	0	0.570015	0	0	0	0	0	0	0	0	0	0	0.390749	0.228732	0	0.644591	0	0	0	0.275066	0	0	0	0	0	0	0	0	0	0
CBM50	16.9549	14.9885	11.4457	11.5244	14.8259	17.6798	8.75821	13.0923	14.8204	34.5096	48.1762	19.2756	59.6641	64.9804	56.068	19.0233	21.3746	18.4253	21.8716	14.4577	66.5609	60.6161	34.0022	4.72032	15.9801	11.386	12.378	13.4339	26.6617	36.8141	7.87075	12.6632	10.2565	5.91629	19.6266	18.4058	24.9748
CBM51	6.38765	10.932	11.962	5.65743	4.86821	6.96991	5.74757	27.6128	16.5304	26.0658	21.8061	22.2411	14.7792	19.892	20.498	15.0751	10.3311	22.7245	33.3635	10.5502	28.5914	29.1473	17.5651	5.19235	2.39702	9.05701	13.4782	15.5236	8.80338	1.69911	24.0194	18.3917	21.6429	16.0585	10.4675	19.6274	10.7035
CBM53	0	0	0	0	0	0	0	0	0	0.734247	0.507118	0	1.09475	1.32613	0.602881	0.35893	0.356243	0.614177	0.74141	0	1.82985	2.57941	1.93377	0	0	0	0.275066	0	0	0	0.135703	0	0.0869195	0.140864	0	0.570091	0.475711
CBM54	0.23658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07679	1.42497	0.614177	0	0	0	0	0.805739	0	9.58807	0	0	0	0	0	0	0	0	0	0	0	0.713567
CBM56	0.15772	0.206264	0	0.838138	0	0.169998	0	0	0	0	0	0	0	0	0	0	0.356243	0	0	0	0	0	0.161148	0	0.799006	0	0	0	0	0	0.135703	0	0	0	0	0	0
CBM57	19.5573	24.6142	22.8053	14.0388	20.358	22.9497	18.0638	22.6139	17.1005	24.5973	15.2135	18.5342	17.5161	10.609	21.1008	61.377	35.6243	69.0949	36.3291	45.3269	37.2832	31.9847	24.4945	5.9004	14.3821	26.6535	17.6042	15.2251	24.901	44.7433	18.4556	28.3414	25.8151	16.7628	9.15909	19.7903	19.2663
CBM6	7.41283	6.39419	4.475	2.51441	5.08949	5.26993	3.55802	4.0467	7.4102	3.30411	3.04271	7.04301	2.73689	3.97839	1.20576	55.6341	31.3494	38.079	25.2079	6.64273	7.31941	5.6747	13.5364	0.708048	9.58807	5.43421	5.77638	10.4486	15.4688	21.5221	5.69951	1.80902	4.34597	3.5216	1.96266	8.95857	10.4657
CBM60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35893	0	0.921265	0	0.781498	0	0	0	0	0	0	0	0	0.50305	0.56637	0	0	0	0	0	0	0
CBM61	0.0788599	0	0	0	0	0	0	0	0	0	1.01424	0	0.547377	1.32613	1.20576	0	0	0	0	1.17225	0.686195	0.773822	2.09492	0	1.59801	0	0	0.597061	0.251525	0.56637	0.54281	0	0	0.140864	0	0.488649	0.475711
CBM62	0.15772	0.275019	0.172115	0.419069	0	0	0	0	0	0	0	0	0	0	0	0.35893	0	0	0	0	0	0	0	0	0.799006	0	0	0.298531	0	0	0.407108	0	0.0869195	0	0	0	0
CBM63	0.0788599	0.137509	0.0860576	0	0	0	0	0	0.570015	0	0	0	0	0.663065	0	0	0	0	0.370705	0	0	0	0.483443	0	0	0	0	0	0.377288	0	0	0	0	0	0	0.325766	0.475711
CBM64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125763	0	0	0	0	0	0	0	0
CBM65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM66	3.62756	4.26279	4.81923	2.72395	1.54898	2.88996	2.73694	11.9021	7.4102	6.97535	12.6779	4.8189	12.0423	9.28291	12.6605	5.02502	3.91868	3.68506	6.67269	2.34449	23.1019	25.0203	14.3422	0.236016	14.3821	7.50438	14.8535	10.15	6.53965	0.56637	8.41356	12.6632	9.64806	9.86049	2.61688	10.506	13.0821
CBM67	23.5791	21.1077	19.363	12.153	14.8259	22.9497	10.4004	43.5616	39.9011	50.2959	33.9769	34.103	31.7479	28.5118	23.5124	131.727	82.2922	79.5359	67.4683	24.6172	70.4493	55.4573	89.7593	5.19235	20.7742	9.05701	30.5323	54.6311	64.1389	28.3185	55.231	48.8436	59.0183	42.1184	15.7013	80.79	80.6331
CBM68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228732	0	0.805739	0	13.5831	0	0	0	0	0	0	0	0	0	0	0	0
CBM69	0.47316	0.275019	0.344231	0.209534	0	0	0	0	0	0	0	0	0	0	0	0	0.712486	0	0	0	0	0	1.77263	0	0	0	0	0	0.628813	1.13274	0	0	0	0	0	0	0
CBM70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0814416	0
CBM71	0	0.0687547	0	0	0	0	0	0	0.570015	0	0	0.741369	0	0	0	0	0	0	0	0	0.228732	0	0	0	0	0	0	0	0	0	0	0.301504	0.0869195	0	1.30844	0	0
CBM73	0.23658	0.343774	0.172115	0.419069	0.663847	0.509993	0	0.476083	0	0.367124	0	0	0	0.663065	0	0	0	0	0.74141	0	0	0	0.322296	0.236016	0	0.517544	0	0	0	0	0.54281	0	0.260758	0.140864	0	0	0
CBM74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356243	0.307088	0	1.563	0	0	1.12803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM8	0.23658	0.275019	0.172115	0	0.221282	0.339995	0	0	0	0.367124	0.507118	0.370685	1.64213	1.32613	0.602881	0	1.42497	0.307088	2.59494	0	1.37239	1.2897	0.805739	0.236016	1.59801	0	0.275066	0	0.50305	0	0.135703	0.904511	0.608436	0	0	0.732974	0.475711
CBM82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM85	0.55202	0.412528	0.172115	0.419069	0	0	0	2.61845	4.56012	1.10137	1.52135	1.48274	0.547377	0.663065	0	6.81967	2.13746	4.60633	1.11212	0.390749	1.82985	2.06353	2.90066	0	0.799006	0	0.825197	2.68678	2.13796	2.83185	1.08562	1.50752	1.04303	1.26778	0	0.977299	1.42713
CBM86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390749	0	0	0	0	0	0	0	0	0	0	0	0	0.0869195	0	0	0	0
CBM9	58.0409	68.1359	68.8461	36.8781	48.2396	59.6692	30.9274	65.4614	22.8006	65.7151	58.8256	43.7408	50.9061	55.0344	51.2449	149.674	131.454	124.371	83.0379	43.7639	114.595	91.8269	91.0485	8.96861	36.7543	57.4473	66.8409	59.1091	77.0925	45.3096	48.5815	77.788	76.663	51.838	96.1705	77.5324	77.3031
CE1	168.366	175.6	164.628	110.634	136.531	164.898	90.319	87.3612	64.9817	80.4001	89.7598	80.4386	76.6328	77.5786	75.3602	318.73	270.389	330.734	217.604	297.36	109.562	91.8269	149.062	27.8499	110.263	111.789	113.327	101.5	206.376	193.132	89.5637	53.9692	82.1389	68.6008	181.219	164.756	149.849
CE11	96.1303	90.6187	89.586	93.0333	100.683	98.9387	87.3084	72.8406	78.0921	65.7151	61.8684	85.2575	48.1692	66.3065	70.5371	104.449	95.8294	99.4966	73.0289	81.2758	96.0673	93.1166	110.386	35.8744	63.9205	85.9122	82.2446	66.5724	90.1718	108.177	47.3602	58.4917	57.1061	55.5005	100.75	63.1172	70.1674
CE12	3.5487	2.54392	2.06538	1.46674	1.99154	3.22996	0	0.476083	0	0.367124	1.01424	0.741369	0	0.663065	0	8.97325	5.69989	8.90556	6.67269	8.59648	2.97351	2.32147	2.73951	0.236016	0	0.258772	0.275066	0.298531	5.28203	5.09733	2.84975	0.904511	2.08607	1.26778	0	2.52469	2.1407
CE13	6.30879	7.21925	5.24952	2.93348	3.98308	5.60993	1.64216	0.238041	0.570015	0	0	0.370685	0	0	0	2.51251	7.12486	5.83468	9.26763	1.95374	0.457463	0.257941	0	0.472032	0.799006	4.39912	1.37533	0.298531	9.43219	10.1947	0.271405	0	0.434597	0.281728	2.61688	1.87316	2.61641
CE14	41.9535	50.466	65.4899	29.9634	42.7075	44.1994	84.5715	103.548	70.6819	126.658	102.438	85.6281	85.9383	76.9156	96.461	99.0647	91.1983	110.552	81.9258	162.942	83.0296	89.2475	65.2649	29.03	71.1115	68.057	97.9234	94.6342	94.9507	47.0087	91.8707	144.119	102.652	80.1517	90.9367	103.838	88.7202
CE15	10.6461	13.8197	15.1461	7.75277	9.73642	12.2398	6.29496	21.1857	9.69026	19.4576	13.1851	10.0085	9.85279	6.63065	9.04322	40.5591	29.9244	36.8506	32.622	17.5837	15.7825	13.4129	12.5695	4.24829	5.59304	10.8684	19.8047	34.0325	27.4162	7.36282	21.0339	16.2812	20.9476	17.3263	17.0097	27.6901	32.1105
CE16	3.5487	3.78151	2.32356	1.25721	2.43411	2.88996	0.821082	0.238041	0	0	0	0.370685	0	0	0	3.94823	3.56243	5.52759	2.59494	12.504	2.28732	1.54764	2.57836	0	3.19602	2.07017	0.825197	0	5.28203	9.06193	0.54281	0	0.260758	0.986049	0.654221	0.325766	1.42713
CE17	0.867459	1.10008	1.29086	0	0.663847	1.52998	0	2.14237	0.570015	2.20274	2.02847	1.11205	1.64213	0.663065	1.20576	10.7679	4.27492	6.14177	5.93128	8.98723	2.97351	1.03176	6.12362	0.236016	0	0	0.275066	0.895592	1.88644	0	1.89984	0	1.91223	1.83123	0	2.28036	1.66499
CE18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173839	0	0	0	0
CE2	2.91782	3.85026	2.8399	2.09534	1.77026	4.75994	0	0.952165	0.570015	0.734247	3.54982	3.33616	0	0	0	13.2804	6.41238	4.29924	4.44846	8.98723	2.97351	3.86911	6.44591	0.236016	2.39702	3.10526	2.20053	2.68678	3.77288	6.23007	2.44265	0.603008	1.39071	1.9721	1.30844	5.21226	3.56784
CE3	8.28029	8.73185	6.62644	4.40022	6.85975	11.2199	2.46325	7.85536	3.99011	8.07672	7.09965	8.52575	12.0423	12.5982	15.072	61.0181	35.2681	53.1263	28.5443	18.7559	17.6123	13.6709	21.1104	2.59618	19.9752	3.88158	10.1774	7.16474	25.5298	9.06193	9.09207	5.42707	10.4303	7.74753	9.81331	15.9625	23.3099
CE4	116.318	127.815	144.663	78.5754	94.7089	106.929	105.372	83.0764	99.7527	90.6795	140.472	105.645	146.697	167.756	151.323	148.597	150.691	157.229	145.316	240.311	212.949	218.476	190.96	48.3833	181.374	138.443	140.283	118.218	166.258	90.0529	117.518	137.787	138.723	100.436	128.881	127.293	128.204
CE5	0.3943	0.550038	0.688461	0.419069	1.32769	1.01999	0.821082	0	0	0	0	0	0	0	0	0.71786	0.712486	0.921265	0	2.73524	0	0	0	0.236016	0	1.03509	0	0	0	0	0.54281	0	0.521517	0.422592	0.654221	1.14018	0.475711
CE6	2.83896	5.50038	3.61442	2.09534	4.86821	6.45991	1.91586	2.38041	0.570015	2.56987	1.52135	2.22411	0.547377	2.65226	0.602881	22.2537	8.19359	23.9529	7.0434	7.81498	3.65971	4.38499	4.18984	0.708048	3.19602	2.07017	1.10026	3.8809	8.42609	4.53096	3.66397	2.71353	3.5637	2.81728	1.96266	3.82775	4.51926
CE7	7.96485	8.6631	10.8433	4.40022	4.64693	7.13991	9.0319	8.33145	10.2603	9.17809	22.8203	5.56027	14.7792	17.9028	19.8951	30.509	22.7996	20.2678	18.1646	19.1467	27.4478	21.1511	22.5607	4.95634	23.1712	12.1623	12.378	17.6133	14.4627	6.23007	14.3845	20.8038	18.6008	11.8326	17.0097	22.2335	30.2077
CE8	0.3943	0.275019	0.344231	0	0	0.509993	0	0.476083	0	2.56987	6.08541	0.370685	2.18951	4.64146	2.41153	0	0.356243	0	1.11212	3.90749	4.80336	4.64293	0.483443	0	3.99503	0	0.275066	0	4.27593	3.96459	0.678513	1.80902	0.521517	0	0.654221	2.11748	0.713567
CE9	13.9582	15.1948	14.0274	8.38138	14.3834	15.9798	20.5271	24.7563	10.8303	34.5096	38.0338	12.6033	30.1058	35.1425	25.321	42.7127	40.6117	35.6222	32.2513	73.8515	53.7519	53.1358	36.9028	1.88813	39.9503	10.8684	17.6042	26.2707	18.6129	16.9911	36.3683	46.7331	49.0226	35.3569	13.7386	30.4591	34.0134
