Bin ID,CGC (CAZyme modules),Taxonomy (Class)
DSANT95_maxbin.014,GT51,Alphaproteobacteria
DSANT95_maxbin.016,CE14,Bacteroidia
DSANT95_maxbin.016,GH109,Bacteroidia
DSANT95_maxbin.016,GH16_3+GH16+GH13_38+GH65,Bacteroidia
DSANT95_maxbin.016,GT2_Glycos_transf_2+GT2,Bacteroidia
DSANT95_maxbin.024,GH0+GH109,Bacteroidia
DSANT95_maxbin.024,GH117+CBM13+GH29+GH2,Bacteroidia
DSANT95_maxbin.024,GH29+GH110,Bacteroidia
DSANT95_maxbin.024,GT4,Bacteroidia
DSANT95_maxbin.026,GH67+GH2+CBM6+CBM7+CBM6+GH3+CE17+GH43+GH43_12,Clostridia
DSANT95_maxbin.035,CE4,Fusobacteriia
DSANT95_maxbin.035,GH2+CBM67,Fusobacteriia
DSANT95_maxbin.035,GH23,Fusobacteriia
DSANT95_maxbin.035,GT83,Fusobacteriia
DSANT95_maxbin.044,CBM32+GH2+CBM71,Bacteroidia
DSANT95_maxbin.044,CBM32+GH43+GH43_28+GH144+CBM6+GH3,Bacteroidia
DSANT95_maxbin.044,CBM50+GH23+GT19+GH5_2+GH5+CE8,Bacteroidia
DSANT95_maxbin.044,GH2,Bacteroidia
DSANT95_maxbin.044,GH2,Bacteroidia
DSANT95_maxbin.050,GT51,Clostridia
DSANT95_maxbin.051,GH16_3+GH13_38+GH65,Bacteroidia
DSANT95_maxbin.051,GT4,Bacteroidia
DSANT95_maxbin.073,GH23+CBM50,Actinomycetia
DSANT95_maxbin.083,CE4,Negativicutes
DSANT95_maxbin.083,CE4+GH153,Negativicutes
DSANT95_maxbin.083,GT2_Glycos_transf_2+GT2,Negativicutes
DSANT95_maxbin.085,CBM32+GH2,Verrucomicrobiae
DSANT95_metabat2.56,GH3,Actinomycetia
DSANT95_metabat2.56,GT4,Actinomycetia
GBGOC44_maxbin.033,GH3,Anaerolineae
GBGOC44_maxbin.033,GT4,Anaerolineae
GBGOC44_maxbin.050,GT4,Bacteroidia
GBGOC44_maxbin.067,GT4,Anaerolineae
GBGOC44_maxbin.067,GT51,Anaerolineae
GBGOC44_maxbin.089,GH103,Desulfobacteria
GBGOC44_maxbin.089,GH23,Desulfobacteria
GBGOC44_maxbin.101,GH23+CBM50,DSM-4660
GBGOC44_maxbin.110,GH23,DSM-4660
GBGOC44_maxbin.110,GT4+GT4,DSM-4660
GBGOC44_maxbin.112,GT4+GT4,Koll11
GBGOC44_maxbin.122,GT4+CE14,Holophagae
GBGOC44_maxbin.125,GT4,Methanosarcinia
GBGOC44_maxbin.128,GH29,Bacteroidia
GBGOC44_maxbin.137,GT4,Hydrothermia
GBGOC44_maxbin.142,GT51,S145-22
GBGOC44_maxbin.142,GT83,S145-22
GBGOC44_maxbin.152,CE4,UBA2214
GBGOC44_maxbin.152,GH2,UBA2214
GBGOC44_maxbin.152,GH3+GH28,UBA2214
GBGOC44_maxbin.152,GH92+GH3+GH3+CBM6,UBA2214
GBGOC44_maxbin.167,GT4,Campylobacteria
GBGOC44_maxbin.172,GH23,Krumholzibacteria
GBGOC44_maxbin.177,GH8+GH2,Bacteroidia
GBGOC44_maxbin.177,GT51,Bacteroidia
GBGOC44_maxbin.198,GT4,Paceibacteria
GBGOC44_maxbin.212,GT4,Bathyarchaeia
GBGOC44_maxbin.218,GT2_Glycos_transf_2+GT2,Campylobacteria
GBGOC44_metabat2.230,CBM9,JdFR-76
GBGOC44_metabat2.230,CE4,JdFR-76
GBGOC44_metabat2.279,GH23,Desulfobaccia
GBGOC44_metabat2.293,CBM67+GH2,Aminicenantia
GBGOC44_metabat2.293,GH3+CBM6,Aminicenantia
GBGOC44_metabat2.72,GT51,Syntrophobacteria
GBGOC44_metabat2.72,GT83,Syntrophobacteria
GBGOC45_maxbin.089,GH23+GH23,DSM-4660
GBGOC45_maxbin.118,GH33+GH0+CBM6+GH3,Aminicenantia
GBGOC45_maxbin.140,GT51,Campylobacteria
GBGOC45_maxbin.149,GH3,Anaerolineae
GBGOC45_maxbin.151,CBM9,JdFR-76
GBGOC45_maxbin.151,CE4,JdFR-76
GBGOC45_maxbin.166,GH3+GH3,Bathyarchaeia
GBGOC45_maxbin.199,GT51,UBA6098
GBGOC45_metabat2.227,GH2+GH8,Bacteroidia
GBGOC45_metabat2.287,CBM50+GH23,DSM-4660
GBGOC45_metabat2.287,GT51,DSM-4660
GBGOC45_metabat2.54,CBM50+GH23,MSB-5A5
GBGOC47_maxbin.017,GH2,Bacteroidia
GBGOC47_maxbin.043,GH23,Spirochaetia
GBGOC47_maxbin.058,GH103,Campylobacteria
GBGOC47_maxbin.081,CBM50+GH23,DSM-4660
GBGOC47_maxbin.083,GH130+GH2+GH38,JS1
GBGOC47_maxbin.089,GH2,Spirochaetia
GBGOC47_maxbin.089,GH3,Spirochaetia
GBGOC47_maxbin.089,GT51,Spirochaetia
GBGOC47_maxbin.091,GH3,Anaerolineae
GBGOC47_maxbin.098,GH2,DSM-4660
GBGOC47_maxbin.107,GH23+CBM50,Bacteroidia
GBGOC47_maxbin.107,GH92+GH109,Bacteroidia
GBGOC47_maxbin.108,CE4,Bacilli
GBGOC47_maxbin.108,GH2,Bacilli
GBGOC47_maxbin.120,GT51,Anaerolineae
GBGOC47_maxbin.126,GH23,Desulfobacteria
GBGOC47_maxbin.131,GH103,Desulfuromonadia
GBGOC47_maxbin.167,GH23,Campylobacteria
GBGOC47_maxbin.217,GH23+CBM50,Desulfuromonadia
GBGOC47_maxbin.224,GT83,Bradymonadia
GBGOC47_maxbin.325,GH103,Desulfobulbia
GBGOC47_metabat2.403,GH2,UBA2214
GBGOC47_metabat2.413,GH3,UBA2214
GBGOC47_metabat2.96,CBM67+GH2,Aminicenantia
HRSPAC47_maxbin.033,GT51,Clostridia
HRSPAC47_maxbin.034,CBM50+GH23,Desulfuromonadia
HRSPAC47_metabat2.19,GH2,Bacteroidia
HRSPAC47_metabat2.53,CE4,Gammaproteobacteria
HRSPAC47_metabat2.53,GH23,Gammaproteobacteria
KJ6_maxbin.007,GH23+CBM50,MSB-5A5
KJ6_metabat2.15,GH23+CBM50,JACQVX01
KOR58_maxbin.012,CE4,Gammaproteobacteria
KOR58_maxbin.012,GH102+GH23,Gammaproteobacteria
KOR58_maxbin.012,GH103,Gammaproteobacteria
KOR58_maxbin.012,GH23,Gammaproteobacteria
KOR58_maxbin.012,GT51,Gammaproteobacteria
KOR58_metabat2.14,GH103,Alphaproteobacteria
LOKART30_maxbin.040,GH95+GH29,Gammaproteobacteria
LOKART30_maxbin.040,GT51,Gammaproteobacteria
LOKART30_maxbin.045,GH3+GH163+GH95,Phycisphaerae
LOKART30_maxbin.065,GT51,UBA9160
LOKART30_maxbin.069,GT51,B62-G9
LOKART30_maxbin.081,GH23,BMS3Abin14
LOKART30_maxbin.084,GH23,SURF-5
LOKART30_maxbin.085,GH23,UBA7883
LOKART30_maxbin.085,GT51,UBA7883
LOKART30_maxbin.087,GH2,Bacteroidia
LOKART30_maxbin.087,GH23,Bacteroidia
LOKART30_maxbin.092,GT51,Glassbacteria
LOKART30_maxbin.099,CBM67+CBM42+GH2,Planctomycetia
LOKART30_maxbin.099,GH2,Planctomycetia
LOKART30_maxbin.109,GH2+GH123+GH123+GH123,Bacteroidia
LOKART30_maxbin.109,GH3,Bacteroidia
LOKART30_maxbin.109,GT51,Bacteroidia
LOKART30_maxbin.114,GH29,Hydrogenedentia
LOKART30_maxbin.114,GT51,Hydrogenedentia
LOKART30_maxbin.146,GT51,Unknown
LOKART30_maxbin.177,GH23+CBM50,Desulfobacteria
LOKART30_metabat2.139,GH109+GH130,Bacteroidia
LOKART30_metabat2.139,GH29+CBM13,Bacteroidia
LOKART60_maxbin.034,GH3,Anaerolineae
LOKART60_maxbin.034,GH3+CBM6+GH2+GH4+GH130,Anaerolineae
LOKART60_maxbin.062,CE4+GH148,UBA5377
LOKART60_maxbin.062,GH23,UBA5377
LOKART62_maxbin.070,CE4+GH148,UBA5377
LOKART62_maxbin.077,GH3,Anaerolineae
LOKART62_maxbin.108,GH23,Aminicenantia
LOKART95_maxbin.042,GH20+GH3+CBM2+CBM6,Thermoanaerobaculia
MARPAC23_maxbin.015,GH103,Gammaproteobacteria
MARPAC23_maxbin.026,GT51,Vicinamibacteria
MARPAC23_maxbin.026,GT83,Vicinamibacteria
